file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\web\security\core\src\main\java\org\geoserver\security\web\usergroup\UserGroupServicesTogglePanel.java,org.geoserver.security.web.usergroup.UserGroupServicesTogglePanel,class,6,7,1,6,2,5,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,21,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\main\src\main\java\org\geoserver\GeoserverInitStartupListener.java,org.geoserver.GeoserverInitStartupListener,class,14,16,2,14,50,1,0,83,0,0.625,0.0,0.0,4,0,2,2,0,0,2,0,0,0,6,4,0,4,0,2,4,0,22,251,0,12,10,12,3,34,4,43,7,42,8,1,0,0,227,1,9
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\extension\importer\web\src\main\java\org\geoserver\importer\web\BasicDbmsParamPanel.java,org.geoserver.importer.web.BasicDbParamPanel$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\extension\importer\web\src\main\java\org\geoserver\importer\web\BasicDbmsParamPanel.java,org.geoserver.importer.web.BasicDbParamPanel$Anonymous2,anonymous,0,0,0,0,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,-1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\web\security\core\src\main\java\org\geoserver\security\web\user\UserGroupListMultipleChoice.java,org.geoserver.security.web.user.UserGroupListMultipleChoice,class,4,5,1,4,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\wcs1_0\src\main\java\org\geoserver\wcs\kvp\InterpolationMethodKvpParser.java,org.geoserver.wcs.kvp.InterpolationMethodKvpParser,class,3,4,1,3,4,2,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,6,0,1,1,0,1,0,0,0,26,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\web\security\core\src\test\java\org\geoserver\security\web\auth\AuthenticationPageTest.java,org.geoserver.security.web.auth.AuthenticationPageTest,class,7,7,0,7,8,4,0,24,3,0.6666667,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,36,2,2,1,0,2,10,1,5,0,4,3,0,0,0,52,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\community\jdbc-metrics\src\main\java\org\geoserver\jdbc\metrics\RequestMetricsFilter.java,org.geoserver.jdbc.metrics.RequestMetricsFilter,class,8,8,0,8,3,1,0,13,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,3,22,0,0,0,0,0,4,0,5,1,6,1,0,0,1,59,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\wms\src\main\java\org\geoserver\wms\featureinfo\VectorBasicLayerIdentifier.java,org.geoserver.wms.featureinfo.VectorBasicLayerIdentifier,class,27,29,2,27,31,2,0,68,4,0.6666667,0.0,0.0,5,0,2,3,0,0,2,0,0,0,3,2,0,1,1,1,2,0,4,132,6,2,9,1,5,3,12,57,7,43,3,0,0,0,132,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\wfs\src\main\java\org\geoserver\wfs\xml\v1_1_0\LockTypeBinding.java,org.geoserver.wfs.xml.v1_1_0.LockTypeBinding,class,6,7,1,6,6,2,0,8,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,23,3,0,0,0,0,3,0,2,0,2,1,0,0,0,126,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\wfs\src\main\java\org\geoserver\wfs\xml\v1_1_0\WFS.java,org.geoserver.wfs.xml.v1_1_0.WFS,class,3,4,1,3,5,2,0,5,8,0.99076915,0.0,0.0,5,0,4,0,1,0,5,0,0,0,65,64,64,0,0,1,64,0,0,85,3,0,0,0,0,127,0,65,0,65,0,0,0,0,80,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\gwc\src\test\java\org\geoserver\gwc\GWCTest.java,org.geoserver.gwc.GWCTest$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\extension\netcdf-out\src\test\java\org\geoserver\wcs2_0\MultiDimDataStore.java,org.geoserver.wcs2_0.MultiDimDataStore,class,18,21,3,18,9,2,0,18,5,0.8222221,0.0,0.0,6,1,3,2,0,1,6,0,0,0,15,13,0,15,0,0,13,0,4,253,5,0,0,1,0,28,16,21,4,19,1,1,0,0,85,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\community\notification-common\src\main\java\org\geoserver\notification\common\EncoderXStreamInitializer.java,org.geoserver.notification.common.EncoderXStreamInitializer$EncoderConverter,innerclass,7,7,0,7,7,2,0,6,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,31,2,1,0,1,0,2,0,6,0,4,3,0,0,0,38,9,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\extension\monitor\core\src\main\java\org\geoserver\monitor\rest\MonitorRequestController.java,org.geoserver.monitor.rest.MonitorRequestController,class,24,26,2,24,29,2,1,37,16,0.875,0.0,0.0,9,0,2,0,3,4,9,0,0,0,8,7,0,0,0,8,6,0,7,137,12,2,10,2,0,43,6,27,4,23,3,1,0,0,101,1,0
